#SampleID	BarcodeSequence	LinkerPrimerSequence	Description
732C4			p3_D04_AKC_2017_VB15-03825_testedNeg_30+15
361C5			p3_D05_AKC_2017_VB15-03848_testedNeg_30+15
170C6			p3_D06_AKC_2017_VB15-03888_testedNeg_30+15
617C7			p3_D07_AKC_2017_VB15-03893_testedNeg_30+15
568C8			p3_D08_AKC_2017_VB15-03894_testedNeg_30+15
817C9			p3_D09_AKC_2017_VB15-03922_testedNeg_30+15
198C10			p3_D10_AKC_2017_VB15-03945_testedNeg_30+15
22C11			p3_D11_AKC_2017_VB15-03971_testedNeg_30+15
109C12			p3_D12_AKC_2017_VB15-03979_testedNeg_30+15
578C1			p3_E01_AKC_2017_VB15-03989_testedNeg_30+15
564C2			p3_E02_AKC_2017_VB15-03997_testedNeg_30+15
214C3			p3_E03_AKC_2017_VB15-04017_testedNeg_30+15
176C4			p3_E04_AKC_2017_VB15-04171_testedNeg_30+15
618C5			p3_E05_AKC_2017_excluded_testedNeg_30+15
485C6			p3_E06_AKC_2017_VB15-04220_testedNeg_30+15
704C7			p3_E07_AKC_2017_VB15-04221_testedNeg_30+15
282C8			p3_E08_AKC_2017_VB15-04222_testedNeg_30+15
133C9			p3_E09_AKC_2017_VB15-04226_testedNeg_30+15
154C10			p3_E10_AKC_2017_VB15-04296_testedNeg_30+15
495C11			p3_E11_AKC_2017_VB15-04308_testedNeg_30+15
814C12			p3_E12_AKC_2017_VB15-04361_testedNeg_30+15
215C1			p3_F01_AKC_2017_VB15-04387_testedNeg_30+15
107C2			p3_F02_AKC_2017_VB15-04389_testedNeg_30+15
810C3			p3_F03_AKC_2017_VB15-04407_testedNeg_30+15
369C4			p3_F04_AKC_2017_VB15-04438_testedNeg_30+15
135C5			p3_F05_AKC_2017_VB15-04468_testedNeg_30+15
400C6			p3_F06_AKC_2017_VB15-04478_testedNeg_30+15
311C7			p3_F07_AKC_2017_VB15-04479_testedNeg_30+15
2C8			p3_F08_AKC_2017_VB15-04484_testedNeg_30+15
575C9			p3_F09_AKC_2017_VB15-04509_testedNeg_30+15
498C10			p3_F10_AKC_2017_VB15-04567_testedNeg_30+15
666C11			p3_F11_AKC_2017_VB15-04569_testedNeg_30+15
268C12			p3_F12_AKC_2017_VB15-04601_testedNeg_30+15
70C1			p3_G01_AKC_2017_VB15-04604_testedNeg_30+15
367C2			p3_G02_AKC_2017_VB15-04622_testedNeg_30+15
319C3			p3_G03_AKC_2017_VB15-04656_testedNeg_30+15
385C4			p3_G04_AKC_2017_VB15-04671_testedNeg_30+15
596C5			p3_G05_AKC_2017_VB15-04679_testedNeg_30+15
599C6			p3_G06_AKC_2017_VB15-04680_testedNeg_30+15
155C7			p3_G07_AKC_2017_VB15-04690_testedNeg_30+15
771C8			p3_G08_AKC_2017_VB15-04701_testedNeg_30+15
513C9			p3_G09_AKC_2017_VB15-04720_testedNeg_30+15
74C10			p3_G10_AKC_2017_VB15-04734_testedNeg_30+15
819C11			p3_G11_AKC_2017_VB15-04735_testedNeg_30+15
245C12			p3_G12_AKC_2017_VB15-04770_testedNeg_30+15
665C1			p3_H01_AKC_2017_VB15-04774_testedNeg_30+15
277C2			p3_H02_AKC_2017_VB15-04784_testedNeg_30+15
606C3			p3_H03_AKC_2017_VB15-04804_testedNeg_30+15
120C4			p3_H04_AKC_2017_VB15-04816_testedNeg_30+15
349C5			p3_H05_AKC_2017_VB15-04844_testedNeg_30+15
263C6			p3_H06_AKC_2017_VB15-04859_testedNeg_30+15
735C7			p3_H07_NTC_neg_30+15
604C8			p3_H08_H2O_neg_30+15
344C9			p3_H09_Dog_DNA_neg_30+15
456C10			p3_H10_E._canis-10e5_copy_gDNA_pos_30+15
216C11			p3_H11_E._canis-10e5_copy_TE_pos_30+15
9C12			p3_H12_mock_community_pos_30+15
224D1			p4_A01_AKC_2017_excluded_testedNeg_30+15
356D2			p4_A02_AKC_2017_VB15-04897_testedNeg_30+15
300D3			p4_A03_AKC_2017_VB15-04898_testedNeg_30+15
765D4			p4_A04_AKC_2017_VB15-04911_testedNeg_30+15
559D5			p4_A05_AKC_2017_VB15-04919_testedNeg_30+15
422D6			p4_A06_AKC_2017_VB15-04920_testedNeg_30+15
626D7			p4_A07_AKC_2017_VB15-04928_testedNeg_30+15
54D8			p4_A08_AKC_2017_VB15-04942_testedNeg_30+15
343D9			p4_A09_AKC_2017_VB15-04969_testedNeg_30+15
229D10			p4_A10_AKC_2017_VB15-04972_testedNeg_30+15
207D11			p4_A11_AKC_2017_VB15-04981_testedNeg_30+15
332D12			p4_A12_AKC_2017_VB15-04996_testedNeg_30+15
855D1			p4_B01_AKC_2017_VB15-05005_testedNeg_30+15
292D2			p4_B02_AKC_2017_VB15-05012_testedNeg_30+15
402D3			p4_B03_AKC_2017_VB15-05015_testedNeg_30+15
88D4			p4_B04_AKC_2017_VB15-05017_testedNeg_30+15
69D5			p4_B05_AKC_2017_VB15-05026_testedNeg_30+15
699D6			p4_B06_AKC_2017_VB15-05031_testedNeg_30+15
114D7			p4_B07_AKC_2017_VB15-05051_testedNeg_30+15
95D8			p4_B08_AKC_2017_VB15-05080_testedNeg_30+15
317D9			p4_B09_AKC_2017_VB15-05084_testedNeg_30+15
740D10			p4_B10_AKC_2017_VB15-05086_testedNeg_30+15
848D11			p4_B11_AKC_2017_VB15-05089_testedNeg_30+15
473D12			p4_B12_AKC_2017_VB15-05103_testedNeg_30+15
51D1			p4_C01_AKC_2017_VB15-05111_testedNeg_30+15
869D2			p4_C02_AKC_2017_VB15-05157_testedNeg_30+15
99D3			p4_C03_AKC_2017_VB15-05163_testedNeg_30+15
188D4			p4_C04_AKC_2017_VB15-05166_testedNeg_30+15
301D5			p4_C05_AKC_2017_VB15-05167_testedNeg_30+15
752D6			p4_C06_AKC_2017_VB15-05181_testedNeg_30+15
569D7			p4_C07_AKC_2017_VB15-05182_testedNeg_30+15
426D8			p4_C08_AKC_2017_VB15-05183_testedNeg_30+15
584D9			p4_C09_AKC_2017_VB15-05191_testedNeg_30+15
474D10			p4_C10_AKC_2017_VB15-05195_testedNeg_30+15
821D11			p4_C11_AKC_2017_VB15-05203_testedNeg_30+15
195D12			p4_C12_AKC_2017_VB15-05212_testedNeg_30+15
850D1			p4_D01_AKC_2017_VB15-05215_testedNeg_30+15
132D2			p4_D02_AKC_2017_VB15-00055_testedNeg_30+15
710D3			p4_D03_AKC_2017_VB15-00183_testedNeg_30+15
342D4			p4_D04_AKC_2017_VB15-00505_testedNeg_30+15
451D5			p4_D05_AKC_2017_VB15-01109_testedNeg_30+15
127D6			p4_D06_AKC_2017_VB15-01663_testedNeg_30+15
141D7			p4_D07_AKC_2017_VB15-01895_testedNeg_30+15
269D8			p4_D08_AKC_2017_VB15-02010_testedNeg_30+15
189D9			p4_D09_AKC_2017_VB15-02136_testedNeg_30+15
538D10			p4_D10_AKC_2017_VB15-02297_testedNeg_30+15
826D11			p4_D11_AKC_2017_VB15-02319_testedNeg_30+15
406D12			p4_D12_AKC_2017_VB15-02440_testedNeg_30+15
713D1			p4_E01_AKC_2017_VB15-02508_testedNeg_30+15
465D2			p4_E02_AKC_2017_VB15-02578_testedNeg_30+15
467D3			p4_E03_AKC_2017_VB15-02692_testedNeg_30+15
41D4			p4_E04_AKC_2017_VB15-02846_testedNeg_30+15
103D5			p4_E05_AKC_2017_VB15-02944_testedNeg_30+15
376D6			p4_E06_AKC_2017_VB15-02994_testedNeg_30+15
186D7			p4_E07_AKC_2017_VB15-03030_testedNeg_30+15
31D8			p4_E08_AKC_2017_VB15-04815_testedNeg_30+15
368D9			p4_E09_AKC_2017_VB15-04833_testedNeg_30+15
